,dataset1,architecture1,seed1,step1,layer1,dataset2,architecture2,seed2,step2,layer2,PWCCA,mean_sq_cca_corr,mean_cca_corr,CKA,Procrustes,PredDist_0,PredDist_1e-07,PredDist_1e-06,PredDist_1e-05,PredDist_0.0001,PredDist_0.001,PredDist_0.01,PredDist_0.1,PredDist_1,PredDist_10.0,PredDist_100.0,PredDist_1000.0,QNLI_diff,SST-2_diff
0,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,0,2.612872239682318e-07,2.574922354114939e-06,1.28818736155889e-06,0.0,-8.881784197001252e-16,0.0029738940941115,1.3642420526593924e-12,-4.547473508864641e-13,0.0,0.0,0.0,-7.105427357601002e-15,4.440892098500626e-16,6.938893903907228e-18,1.3552527156068805e-19,0.0,6.617444900424223e-24,0.0,0.0
1,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,1,0.04400402683927,0.1819536247648558,0.1176916078424049,0.0276293958279567,0.0629942626571069,279.4790265442707,276.500859936325,266.6124315733757,203.8471077636605,81.85701139097625,15.79990682763264,1.1627506663206972,0.03692944050355,0.0006034189694609,6.50752540527755e-06,6.559574442708002e-08,6.564830903187735e-10,0.016230398437976634,0.042048929663608514
2,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,2,0.0885188659737533,0.2921609076570405,0.2002457224639148,0.076000023376755,0.1615168794634314,448.7596218030512,445.6072625975553,433.3308013755629,350.78274072035595,161.0260633295054,37.22502682725033,3.251271416294152,0.1024924677851604,0.001627269328902,1.7462985022633138e-05,1.7593442341819705e-07,1.7606612756069911e-09,0.026725242540728444,0.00076452599388388
3,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,3,0.129465383152308,0.3677439139137682,0.2591958267223623,0.1223036302124631,0.2431620693367222,564.8571215494297,561.7576296789462,549.0421534630823,460.8152955610484,230.86336741260288,55.83155310848042,4.880554157929893,0.158801143261176,0.0025677334909973,2.761860809741737e-05,2.783139341414946e-07,2.785287544526674e-09,0.026908292147171775,0.007645259938838023
4,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,4,0.1648840735242154,0.4214614284522777,0.3015194330774413,0.171166140032093,0.3145726750798299,647.3646538388166,644.2896014620849,631.3638390106187,540.3411857237169,285.7951755579559,71.33058354392975,6.3101811877019145,0.2178113665318106,0.0035915281991955,3.872501828662312e-05,3.903327638302929e-07,3.9064400237118445e-09,0.05906400634571968,0.03937308868501532
5,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,5,0.1959036462500185,0.4630154318726868,0.3343394254605937,0.2243780543129835,0.3755151745824485,711.1910417570945,708.1677345812296,695.2118928879338,603.1336875461659,332.00497276477904,84.08472215931985,7.487364748233869,0.2826954974164328,0.0046091461198203,4.939436470058733e-05,4.975263066291352e-07,4.978876009339456e-09,0.06077246933919095,0.055428134556574915
6,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,6,0.2247859619195384,0.4986517958788293,0.3627908580171298,0.2659191530890206,0.4401815745216952,765.9319529389173,762.9428672049039,750.1982960093359,659.1683565638889,378.1395389208445,98.23452555986998,8.818557360886626,0.3283155828690298,0.0052034210240913,5.5503233965944993e-05,5.587833148236507e-07,5.5916146146966405e-09,0.1556531820123253,0.11506116207951067
7,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,7,0.2565616551461892,0.5361341337191596,0.3932307535392819,0.3017767473704033,0.5083769007191519,823.50239201576,820.5645577336018,807.8991977311377,717.1207628733172,425.7870285122684,113.08755285830564,10.108467792427277,0.3713611362986592,0.0059852623171753,6.407038023698426e-05,6.452809896242942e-07,6.457426011572597e-09,0.0997620355116236,0.14181957186544347
8,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,8,0.2784522433071006,0.5588123337023649,0.410915804202835,0.3538831666519005,0.5787723428867231,858.3335272125069,855.4447943778999,842.9774138936289,753.6222494765382,460.7136027040995,126.93556350914956,11.626449557309904,0.4287168273369834,0.0067498046546844,7.193979404353008e-05,7.241985733944082e-07,7.2468251397486e-09,0.10305692842760378,0.13340978593272168
9,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,9,0.3017805294641638,0.5824226448689831,0.4293845075825291,0.3883726588335775,0.6230007085694942,894.5987512553143,891.7126193453437,879.2409284277725,789.6440566423323,490.17899705551855,136.49809368035676,12.546371906751762,0.4685780795002151,0.0075209183591465,8.044032147806506e-05,8.100757417615934e-07,8.10647773389664e-09,0.13582280798096286,0.13952599388379194
10,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,10,0.3207975697440008,0.6006923777846693,0.4433277971480118,0.4103123873657547,0.6570676889441043,922.6623629475152,919.7750291161276,907.2962877387768,817.4651908560734,512.8292871455471,144.070336991302,13.341436427361964,0.4945281895527292,0.0079373244960249,8.490879601707907e-05,8.550930375002104e-07,8.556986304159106e-09,0.18719873085606203,0.18654434250764518
11,mnli_matched_100,base,1,2000000,0,mnli_matched_100,base,1,2000000,11,0.3312343072807815,0.6093830774286322,0.4495711866218718,0.3873050817309567,0.6653560779101939,936.009027796124,933.2121263832104,920.780237005554,831.1886847711693,524.6218921714349,147.98567150004982,13.673852643161725,0.4751207542588522,0.0073253668831692,7.790056531437441e-05,7.840300186231817e-07,7.845365355625086e-09,0.2001952529135395,0.2469418960244648
12,mnli_matched_100,base,1,2000000,1,mnli_matched_100,base,1,2000000,1,-3.79091093183348e-07,-1.1965247052492243e-05,-5.968814988932536e-06,0.0,-4.440892098500626e-16,-0.0217280843589833,2.0463630789890885e-12,-4.547473508864641e-13,2.273736754432321e-13,-1.1368683772161605e-13,0.0,0.0,6.661338147750939e-16,3.469446951953614e-18,1.8973538018496328e-19,2.9646153153900508e-21,1.3234889800848446e-23,0.0,0.0
13,mnli_matched_100,base,1,2000000,1,mnli_matched_100,base,1,2000000,2,0.0470240975959367,0.1793842539954243,0.1089043914546331,0.0290114352316597,0.0725283637106437,275.5361096640954,272.8871081629186,265.6268793425304,213.3361031280101,88.68697652312392,18.27292928696056,1.5641955175315658,0.0440051619559549,0.0006091148927011,6.384974995299108e-06,6.41663447677088e-08,6.419825052404335e-10,0.01049484410275181,0.041284403669724634
14,mnli_matched_100,base,1,2000000,1,mnli_matched_100,base,1,2000000,3,0.09135182861544,0.2891595374973379,0.1909529607437896,0.066148110486822,0.1511156131962994,444.1516364978152,441.39054504838055,432.0373374828917,361.9945643625274,169.69055660406298,37.569892206408895,3.1436991971484645,0.0928193479974275,0.0013525969485132,1.4299228983738742e-05,1.4383061082194944e-07,1.4391514874502283e-09,0.010677893709195141,0.04969418960244654
15,mnli_matched_100,base,1,2000000,1,mnli_matched_100,base,1,2000000,4,0.1301330244784333,0.3613710100688823,0.2486705334460017,0.1114898688517218,0.2264788596477409,555.0668602046208,552.2892318952447,542.122977809117,464.57933629155855,234.06990832318,54.60794020156098,4.652553441504608,0.1488621830337164,0.0022713695019586,2.4185270236269505e-05,2.434561781545441e-07,2.4361796342251004e-09,0.04283360790774304,0.0026758409785931914
16,mnli_matched_100,base,1,2000000,1,mnli_matched_100,base,1,2000000,5,0.1636328010766707,0.4140518378652134,0.2904897892872227,0.1657780139198448,0.2924338527618451,635.9831743252291,633.2185994558564,622.7378574926257,541.8503390388089,287.1596241994416,68.77309667144323,5.914323251014181,0.2131185756239566,0.0032908463210562,3.49327534417531e-05,3.5150391972628805e-07,3.5172319400162692e-09,0.044542070901214315,0.013379204892966401
17,mnli_matched_100,base,1,2000000,1,mnli_matched_100,base,1,2000000,6,0.1947000858654137,0.4580509674467129,0.326363476453317,0.2116418918941432,0.3608031902261097,703.570236925777,700.8477824969491,690.4078104056064,609.1355605834622,339.11205095956245,84.01916671407463,7.294183254646057,0.2615235071350253,0.0039912599344165,4.230262140068967e-05,4.25595889950465e-07,4.258547928769413e-09,0.13942278357434867,0.07301223241590216
18,mnli_matched_100,base,1,2000000,1,mnli_matched_100,base,1,2000000,7,0.2281087553825672,0.5010463529990545,0.3615472698547685,0.2442463394791549,0.4313943012467309,769.6080559180111,766.9300426940747,756.5082125788024,674.8590129563543,391.1979705083637,99.73779386856692,8.675169849370832,0.3049840230237191,0.004674227117098,4.961044331834856e-05,4.991945519836037e-07,4.995059555970617e-09,0.08353163707364697,0.09977064220183496
